key,description,am (Amharic),ar (Arabic),bg (Bulgarian),bn (Bengali),bn_BD (Bengali (Bangladesh)),bs (Bosnian),ca (Catalan),cs (Czech),cy (Welsh),da (Danish),de (German),en (English),es (Spanish),es_419 (Spanish (Latin America)),et (Estonian),eu (Basque),fa (Persian),fi (Finnish),fo (Faroese),fr (French),ga (Irish),gl (Galician),ha (Hausa),he (Hebrew),hi (Hindi),hr (Croatian),hu (Hungarian),id (Indonesian),is (Icelandic),it (Italian),ja (Japanese),ko (Korean),lt (Lithuanian),lv (Latvian),mk (Macedonian),ms (Malay),mt (Maltese),nl (Dutch),no (Norwegian),pl (Polish),pt (Portuguese),pt_BR (Portuguese (Brazil)),ro (Romanian),ru (Russian),sk (Slovak),sl (Slovenian),sq (Albanian),sr (Serbian),sv (Swedish),th (Thai),tr (Turkish),uk (Ukrainian),ur (Urdu),vi (Vietnamese),zh (Chinese (Simplified)),zh_Hant (Chinese (Traditional))
authErrorInvalidEmail,Translation key: authErrorInvalidEmail,,,,,,,,,,,,Please enter a valid email address.,,,,,,,,,,,,אנא הכנס כתובת אימייל תקינה.,,,,,,Inserisci un indirizzo email valido.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorInvalidEmailVerified,Translation key: authErrorInvalidEmailVerified,,,,,,,,,,,,The email verified value is invalid.,,,,,,,,,,,,ערך האימייל המאומת אינו תקין.,,,,,,Il valore di email verificata non è valido.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorInvalidHashAlgorithm,Translation key: authErrorInvalidHashAlgorithm,,,,,,,,,,,,The hash algorithm is invalid.,,,,,,,,,,,,אלגוריתם ה-hash אינו תקין.,,,,,,L'algoritmo di hash non è valido.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorInvalidHashBlockSize,Translation key: authErrorInvalidHashBlockSize,,,,,,,,,,,,The hash block size is invalid.,,,,,,,,,,,,גודל בלוק ה-hash אינו תקין.,,,,,,La dimensione del blocco hash non è valida.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorInvalidHashDerivedKeyLength,Translation key: authErrorInvalidHashDerivedKeyLength,,,,,,,,,,,,The hash derived key length is invalid.,,,,,,,,,,,,אורך המפתח הנגזר מה-hash אינו תקין.,,,,,,La lunghezza della chiave derivata dall'hash non è valida.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorInvalidHashKey,Translation key: authErrorInvalidHashKey,,,,,,,,,,,,The hash key is invalid.,,,,,,,,,,,,מפתח ה-hash אינו תקין.,,,,,,La chiave hash non è valida.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorInvalidHashMemoryCost,Translation key: authErrorInvalidHashMemoryCost,,,,,,,,,,,,The hash memory cost is invalid.,,,,,,,,,,,,עלות הזיכרון של ה-hash אינה תקינה.,,,,,,Il costo di memoria dell'hash non è valido.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorInvalidHashParallelization,Translation key: authErrorInvalidHashParallelization,,,,,,,,,,,,The hash parallelization is invalid.,,,,,,,,,,,,המקבילות של ה-hash אינה תקינה.,,,,,,La parallelizzazione dell'hash non è valida.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorInvalidHashRounds,Translation key: authErrorInvalidHashRounds,,,,,,,,,,,,The hash rounds value is invalid.,,,,,,,,,,,,ערך סיבובי ה-hash אינו תקין.,,,,,,Il valore dei round di hash non è valido.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorInvalidHashSaltSeparator,Translation key: authErrorInvalidHashSaltSeparator,,,,,,,,,,,,The hash salt separator is invalid.,,,,,,,,,,,,מפריד המלח של ה-hash אינו תקין.,,,,,,Il separatore di sale dell'hash non è valido.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorInvalidIdToken,Translation key: authErrorInvalidIdToken,,,,,,,,,,,,The ID token is invalid.,,,,,,,,,,,,טוקן ה-ID אינו תקין.,,,,,,Il token ID non è valido.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorInvalidLastSignInTime,Translation key: authErrorInvalidLastSignInTime,,,,,,,,,,,,The last sign-in time is invalid.,,,,,,,,,,,,זמן ההתחברות האחרון אינו תקין.,,,,,,L'ultima ora di accesso non è valida.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorInvalidMultiFactorSession,Translation key: authErrorInvalidMultiFactorSession,,,,,,,,,,,,Invalid multi-factor session.,,,,,,,,,,,,סשן רב-גורמי לא תקין.,,,,,,Sessione multi-fattore non valida.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorInvalidPageToken,Translation key: authErrorInvalidPageToken,,,,,,,,,,,,The page token is invalid.,,,,,,,,,,,,טוקן הדף אינו תקין.,,,,,,Il token di pagina non è valido.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorInvalidPassword,Translation key: authErrorInvalidPassword,,,,,,,,,,,,The password is invalid or too weak.,,,,,,,,,,,,הסיסמה אינה תקינה או חלשה מדי.,,,,,,La password non è valida o è troppo debole.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorInvalidPhoneNumber,Translation key: authErrorInvalidPhoneNumber,,,,,,,,,,,,The phone number is invalid.,,,,,,,,,,,,מספר הטלפון אינו תקין.,,,,,,Il numero di telefono non è valido.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorInvalidProviderData,Translation key: authErrorInvalidProviderData,,,,,,,,,,,,The provider data is invalid.,,,,,,,,,,,,נתוני הספק אינם תקינים.,,,,,,I dati del provider non sono validi.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorInvalidProviderId,Translation key: authErrorInvalidProviderId,,,,,,,,,,,,The provider ID is invalid.,,,,,,,,,,,,מזהה הספק אינו תקין.,,,,,,L'ID del provider non è valido.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorInvalidSessionCookieDuration,Translation key: authErrorInvalidSessionCookieDuration,,,,,,,,,,,,The session cookie duration is invalid.,,,,,,,,,,,,משך עוגיית הסשן אינו תקין.,,,,,,La durata del cookie di sessione non è valida.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorInvalidUid,Translation key: authErrorInvalidUid,,,,,,,,,,,,The UID is invalid.,,,,,,,,,,,,ה-UID אינו תקין.,,,,,,L'UID non è valido.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorInvalidUserImport,Translation key: authErrorInvalidUserImport,,,,,,,,,,,,The user import record is invalid.,,,,,,,,,,,,רשומת ייבוא המשתמש אינה תקינה.,,,,,,Il record di importazione utente non è valido.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorInvalidVerificationCode,Translation key: authErrorInvalidVerificationCode,,,,,,,,,,,,The verification code is invalid.,,,,,,,,,,,,קוד האימות אינו תקין.,,,,,,Il codice di verifica non è valido.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorInvalidVerificationId,Translation key: authErrorInvalidVerificationId,,,,,,,,,,,,The verification ID is invalid.,,,,,,,,,,,,מזהה האימות אינו תקין.,,,,,,L'ID di verifica non è valido.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorMaximumSecondFactorCountExceeded,Translation key: authErrorMaximumSecondFactorCountExceeded,,,,,,,,,,,,Maximum number of second factors exceeded.,,,,,,,,,,,,מספר מקסימלי של גורמים שניים הותר.,,,,,,Numero massimo di secondi fattori superato.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorMaximumUserCountExceeded,Translation key: authErrorMaximumUserCountExceeded,,,,,,,,,,,,Maximum user import count exceeded.,,,,,,,,,,,,מספר מקסימלי של משתמשים לייבוא הותר.,,,,,,Numero massimo di utenti importati superato.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorMissingAndroidPkgName,Translation key: authErrorMissingAndroidPkgName,,,,,,,,,,,,Missing Android package name.,,,,,,,,,,,,שם חבילת Android חסר.,,,,,,Nome del pacchetto Android mancante.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorMissingContinueUri,Translation key: authErrorMissingContinueUri,,,,,,,,,,,,Missing continue URL.,,,,,,,,,,,,כתובת URL להמשך חסרה.,,,,,,URL di continuazione mancante.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorMissingHashAlgorithm,Translation key: authErrorMissingHashAlgorithm,,,,,,,,,,,,Missing hash algorithm.,,,,,,,,,,,,אלגוריתם hash חסר.,,,,,,Algoritmo di hash mancante.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorMissingIosBundleId,Translation key: authErrorMissingIosBundleId,,,,,,,,,,,,Missing iOS bundle ID.,,,,,,,,,,,,מזהה חבילת iOS חסר.,,,,,,ID bundle iOS mancante.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorMissingMultiFactorSession,Translation key: authErrorMissingMultiFactorSession,,,,,,,,,,,,Missing multi-factor session.,,,,,,,,,,,,סשן רב-גורמי חסר.,,,,,,Sessione multi-fattore mancante.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorMissingOauthClientSecret,Translation key: authErrorMissingOauthClientSecret,,,,,,,,,,,,Missing OAuth client secret.,,,,,,,,,,,,סוד הלקוח OAuth חסר.,,,,,,Segreto client OAuth mancante.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorMissingPhoneNumber,Translation key: authErrorMissingPhoneNumber,,,,,,,,,,,,Please enter a phone number.,,,,,,,,,,,,אנא הכנס מספר טלפון.,,,,,,Inserisci un numero di telefono.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorMissingUid,Translation key: authErrorMissingUid,,,,,,,,,,,,Missing UID.,,,,,,,,,,,,UID חסר.,,,,,,UID mancante.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorMissingVerificationCode,Translation key: authErrorMissingVerificationCode,,,,,,,,,,,,Please enter the verification code.,,,,,,,,,,,,אנא הכנס את קוד האימות.,,,,,,Inserisci il codice di verifica.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorMissingVerificationId,Translation key: authErrorMissingVerificationId,,,,,,,,,,,,Missing verification ID.,,,,,,,,,,,,מזהה אימות חסר.,,,,,,ID di verifica mancante.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorMultiFactorAuthRequired,Translation key: authErrorMultiFactorAuthRequired,,,,,,,,,,,,Multi-factor authentication is required.,,,,,,,,,,,,נדרשת אימות רב-גורמי.,,,,,,È richiesta l'autenticazione a più fattori.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorMultiFactorInfoNotFound,Translation key: authErrorMultiFactorInfoNotFound,,,,,,,,,,,,Multi-factor information not found.,,,,,,,,,,,,מידע רב-גורמי לא נמצא.,,,,,,Informazioni multi-fattore non trovate.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorNetworkRequestFailed,Translation key: authErrorNetworkRequestFailed,,,,,,,,,,,,Network error. Please check your connection and try again.,,,,,,,,,,,,שגיאת רשת. אנא בדוק את החיבור ונסה שוב.,,,,,,Errore di rete. Controlla la connessione e riprova.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorOperationNotAllowed,Translation key: authErrorOperationNotAllowed,,,,,,,,,,,,This sign-in method is not enabled. Please contact support.,,,,,,,,,,,,שיטת התחברות זו אינה מופעלת. אנא פנה לתמיכה.,,,,,,Questo metodo di accesso non è abilitato. Contatta il supporto.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorPhoneNumberAlreadyExists,Translation key: authErrorPhoneNumberAlreadyExists,,,,,,,,,,,,This phone number is already in use.,,,,,,,,,,,,מספר טלפון זה כבר בשימוש.,,,,,,Questo numero di telefono è già in uso.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorProjectNotFound,Translation key: authErrorProjectNotFound,,,,,,,,,,,,Firebase project not found.,,,,,,,,,,,,פרויקט Firebase לא נמצא.,,,,,,Progetto Firebase non trovato.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorQuotaExceeded,Translation key: authErrorQuotaExceeded,,,,,,,,,,,,The SMS quota for this project has been exceeded. Please try again later.,,,,,,,,,,,,מכסת ה-SMS עבור פרויקט זה הותרה. אנא נסה שוב מאוחר יותר.,,,,,,La quota SMS per questo progetto è stata superata. Riprova più tardi.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorRequiresRecentLogin,Translation key: authErrorRequiresRecentLogin,,,,,,,,,,,,Please log in again to perform this operation.,,,,,,,,,,,,אנא התחבר שוב לביצוע פעולה זו.,,,,,,Effettua nuovamente l'accesso per completare questa operazione.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorReservedClaims,Translation key: authErrorReservedClaims,,,,,,,,,,,,Reserved claims provided.,,,,,,,,,,,,סופקו טענות שמורות.,,,,,,Sono state fornite rivendicazioni riservate.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorSecondFactorAlreadyInUse,Translation key: authErrorSecondFactorAlreadyInUse,,,,,,,,,,,,This second factor is already in use.,,,,,,,,,,,,גורם שני זה כבר בשימוש.,,,,,,Questo secondo fattore è già in uso.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorSessionCookieExpired,Translation key: authErrorSessionCookieExpired,,,,,,,,,,,,Session cookie has expired.,,,,,,,,,,,,עוגיית הסשן פגה תוקף.,,,,,,Il cookie di sessione è scaduto.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorSessionCookieRevoked,Translation key: authErrorSessionCookieRevoked,,,,,,,,,,,,Session cookie has been revoked.,,,,,,,,,,,,עוגיית הסשן בוטלה.,,,,,,Il cookie di sessione è stato revocato.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorSessionExpired,Translation key: authErrorSessionExpired,,,,,,,,,,,,Your session has expired. Please log in again.,,,,,,,,,,,,הסשן פג תוקף. אנא התחבר שוב.,,,,,,La sessione è scaduta. Effettua nuovamente l'accesso.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorTooManyRequests,Translation key: authErrorTooManyRequests,,,,,,,,,,,,Too many failed attempts. Please try again later.,,,,,,,,,,,,יותר מדי ניסיונות כושלים. אנא נסה שוב מאוחר יותר.,,,,,,Troppi tentativi falliti. Riprova più tardi.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorUidAlreadyExists,Translation key: authErrorUidAlreadyExists,,,,,,,,,,,,The UID is already in use.,,,,,,,,,,,,ה-UID כבר בשימוש.,,,,,,L'UID è già in uso.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorUnauthorizedContinueUri,Translation key: authErrorUnauthorizedContinueUri,,,,,,,,,,,,The continue URL domain is not whitelisted.,,,,,,,,,,,,דומיין כתובת ה-URL להמשך אינו מורשה.,,,,,,Il dominio dell'URL di continuazione non è autorizzato.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorUnknown,Translation key: authErrorUnknown,,,,,,,,,,,,An unknown authentication error occurred.,,,,,,,,,,,,אירעה שגיאת אימות לא ידועה.,,,,,,Si è verificato un errore di autenticazione sconosciuto.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorUnsupportedFirstFactor,Translation key: authErrorUnsupportedFirstFactor,,,,,,,,,,,,Unsupported first factor for multi-factor authentication.,,,,,,,,,,,,גורם ראשון לא נתמך לאימות רב-גורמי.,,,,,,Primo fattore non supportato per l'autenticazione a più fattori.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorUserDisabled,Translation key: authErrorUserDisabled,,,,,,,,,,,,This account has been disabled. Please contact support.,,,,,,,,,,,,חשבון זה הושבת. אנא פנה לתמיכה.,,,,,,Questo account è stato disabilitato. Contatta il supporto.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorUserNotFound,Translation key: authErrorUserNotFound,,,,,,,,,,,,No account found with this email address.,,,,,,,,,,,,לא נמצא חשבון עם כתובת אימייל זו.,,,,,,Nessun account trovato con questo indirizzo email.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorWeakPassword,Translation key: authErrorWeakPassword,,,,,,,,,,,,Password is too weak. Please choose a stronger password.,,,,,,,,,,,,הסיסמה חלשה מדי. אנא בחר סיסמה חזקה יותר.,,,,,,La password è troppo debole. Scegli una password più sicura.,,,,,,,,,,,,,,,,,,,,,,,,,,
authErrorWrongPassword,Translation key: authErrorWrongPassword,,,,,,,,,,,,Incorrect password. Please try again.,,,,,,,,,,,,סיסמה שגויה. אנא נסה שוב.,,,,,,Password errata. Riprova.,,,,,,,,,,,,,,,,,,,,,,,,,,
autoconfirmBookings,Translation key: autoconfirmBookings,,,,,,,,,,,,Auto-Confirm Bookings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
automaticallyConfirmNewBookingRequests,Translation key: automaticallyConfirmNewBookingRequests,,,,,,,,,,,,Automatically confirm new booking requests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
availability,Translation key: availability,,,,,,,,,,,,Availability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
back,Translation key: back,ወደፊት,عودة,Назад,পেছনে ফিরে যান,[BN_BD] Back,[BS] Back,Enrere,Zpět,Yn ôl,Tilbage,Zurück,Back,Atrás,[ES_419] Back,Tagasi,[EU] Back,بازگشت,[FI] Back,Tilbaka,Retour,Ar ais,[GL] Back,Back,[HE] Back,पिछला,[HR] Back,Vissza,Kembali,Til baka,[IT] Back,[JA] Back,[KO] Back,[LT] Back,[LV] Back,[MK] Back,[MS] Back,[MT] Back,[NL] Back,[NO] Back,[PL] Back,[PT] Back,[PT_BR] Back,[RO] Back,[RU] Back,[SK] Back,[SL] Back,[SQ] Back,[SR] Back,[SV] Back,[TH] Back,[TR] Back,[UK] Back,Back,[VI] Back,返回,Back
backgroundApproved,Translation key: backgroundApproved,,,,,,,,,,,,Background approved!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
backgroundDeletedSuccessfully,Translation key: backgroundDeletedSuccessfully,,,,,,,,,,,,Background deleted successfully!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
backgroundRejected,Translation key: backgroundRejected,,,,,,,,,,,,Background rejected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
backgroundUploadedSuccessfully,Translation key: backgroundUploadedSuccessfully,,,,,,,,,,,,Background uploaded successfully!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
becomeAnAmbassador,Translation key: becomeAnAmbassador,,,,,,,,,,,,Become an Ambassador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bookAppointment,Translation key: bookAppointment,,,,,,,,,,,,Book Appointment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bookViaChat,Translation key: bookViaChat,,,,,,,,,,,,Book via Chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
booking,Translation key: booking,,,,,,,,,,,,Booking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bookingConfirmed,Translation key: bookingConfirmed,,,,,,,,,,,,Booking Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bookingRequest,Translation key: bookingRequest,,,,,,,,,,,,Booking Request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bookings,Translation key: bookings,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings,הזמנות,Bookings,Bookings,Bookings,Bookings,Bookings,Prenotazioni,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings,Bookings
branchesLengthBranches,Translation key: branchesLengthBranches,,,,,,,,,,,,{branches_length} branches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
broadcast,Translation key: broadcast,,,,,,,,,,,,Broadcast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
businessAppointmentsEntryScreenComingSoon,Translation key: businessAppointmentsEntryScreenComingSoon,,,,,,,,,,,,Business Appointments Entry Screen - Coming Soon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
businessAvailability,Translation key: businessAvailability,,,,,,,,,,,,Business Availability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
businessAvailabilityEntryScreenComingSoon,Translation key: businessAvailabilityEntryScreenComingSoon,,,,,,,,,,,,Business Availability Entry Screen - Coming Soon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
businessBookingEntryScreenComingSoon,Translation key: businessBookingEntryScreenComingSoon,,,,,,,,,,,,Business Booking Entry Screen - Coming Soon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
businessCalendar,Translation key: businessCalendar,,,,,,,,,,,,Business Calendar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
businessCompletionScreenComingSoon,Translation key: businessCompletionScreenComingSoon,,,,,,,,,,,,Business Completion Screen - Coming Soon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
businessCrmEntryScreenComingSoon,Translation key: businessCrmEntryScreenComingSoon,,,,,,,,,,,,Business CRM Entry Screen - Coming Soon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
businessDashboard,Translation key: businessDashboard,,,,,,,,,,,,Business Dashboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
